;Gêstoœæ;Przyrost;Praca;Bezrobocie;Bud¿et;Trasy;Telefon
Warszawa      ;3322;-4,0;331;3,2;3166;752;271
Bia³ystok;3046;3,8;304;9,3;1159;107;204
Bydgoszcz     ;2192;0,9;307;9,9;1350;166;231
Czêstochowa;1622;-0,3;302;13,0;1852;169;133
Gdañsk;1762;0,7;305;10,9;2925;307;155
Katowice      ;2181;-1,9;418;4,2;2606;324;161
Kielce        ;1942;3,0;328;12,1;1241;153;215
Kraków        ;2275;-0,3;341;6,7;2111;514;194
Lublin        ;2367;2,2;330;9,0;1326;230;190
£ódŸ;2842;-5,5;262;14,0;2864;435;209
Poznañ;2233;-1,8;324;4,4;2153;411;189
Radom         ;2057;3,6;292;15,8;1993;113;147
Szczecin      ;1383;0,5;319;5,1;1728;223;181
Toruñ;1740;2,8;326;12,5;1591;119;170
Wroc³aw;2187;-0,6;309;5,2;1512;390;167
Zabrze        ;2544;2,0;256;6,1;1727;163;62
